#1;0;0;0;0
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;
#;6WE_5;6WE_30;6WE_25;6WE_31
double default(8761,5);;;;
993600;22796.94141;22631.41992;20417.9707;23158.23633
997200;18964.72852;21262.5918;20915.88281;22142.53906
1000800;19730.86523;21511.06641;19481.31641;21469.58203
1004400;20850.43555;20396.98242;17005.85352;19439.25781
1008000;19335.02344;20479.18555;18135.16797;21285.48633
1011600;17832.3125;17698.38086;15425.2666;18458.31445
1015200;16116.69824;16815.57031;14351.75488;17905.08984
1018800;14067.95605;15445.99121;12131.64063;18020.57227
1022400;18284.91992;18325.9082;17046.01563;19786.28906
1026000;16546.71094;16699.42188;15178.79492;17996.29297
1029600;20119.15039;15963.87793;15157.08398;18913.64453
1033200;17080.48438;18786.1875;13953.73438;17336.85547
1036800;16888.17188;16919.99414;15968.97168;18540.9043
1040400;17771.17969;17923.96094;14627.94043;19285.75391
1044000;19527.88477;20066.14648;18247.56055;20489.62695
1047600;15488.75;17102.98047;15636.76074;16110.23242
1051200;12833.2627;12902.62891;14873.13672;12751.67285
1054800;11171.42383;17670.81641;15104.48145;11033.05371
1058400;16579.77539;17542.76758;17839.23242;17181.68164
1062000;17911.89063;17773.82422;19460.3418;18338.67188
1065600;20146.41211;18159.12695;19007.61523;19454.05859
1069200;19952.80664;19624.57813;19629.06641;18992.28125
1072800;25991.54883;21859.29297;24516.4082;24990.27734
1076400;24234.61523;26372.83398;24724.79492;27368.48438
1080000;25972.45508;25175.42578;20955.69141;26204.18945
1083600;23012.98242;22523.95508;20872.34375;23524.15625
1087200;22644.33984;22930.46289;19705.08398;22631.8418
1090800;18244.67188;19142.11719;16165.47656;20213.30664
1094400;16678.97461;16248.96875;17160.55469;21039.8418
1098000;14040.34473;14762.71094;14354.26074;17387.54883
1101600;12966.14355;15131.82227;12873.69531;16290.62402
1105200;13146.16602;15987.1543;16311.88379;17374.18555
1108800;15837.15527;16365.17578;14002.80664;17906.58984
1112400;13725.49316;14927.09961;13556.32813;17258.03125
1116000;16174.5127;13515.25684;12815.58008;19451.0957
1119600;12036.60059;15445.83105;15492.56445;16306.19922
1123200;14180.05762;12955.64063;16202.89844;16165.13379
1126800;16896.39844;16434.06836;17625.4375;18059.39063
1130400;19181.94531;17307.83984;18013.84961;18867.36523
1134000;13604.05957;14014.50098;13417.34863;13754.16016
1137600;11565.32227;11090.59375;13223.88379;12157.0918
1141200;9866.099609;14301.87695;12752.02344;9584.355469
1144800;14221.0332;14472.05957;15499.12891;14919.37402
1148400;15151.33984;15196.71484;17171.79688;15826.91992
1152000;16932.68164;15859.6123;16674.16992;17133.32227
1155600;16707.69727;17213.64063;17319.91016;16709.2832
1159200;21722.34766;16914.83789;20292.27734;21203.6582
1162800;21127.52539;21585.44727;22871.13086;23785.10352
1166400;22015.86523;21740.66406;18231.80469;22373.37891
1170000;19615.79102;17723.29297;16856.87305;19743.5332
1173600;18632.49414;18843.75586;17606.35742;18290.53906
1177200;17462.33203;16704.96484;16575.00586;16758.88672
1180800;17023.50391;14260.36621;15351.43164;17916.71289
1184400;16322.25684;16545.30664;11369.54785;16092.98438
1188000;17515.00586;16838.09375;11753.84863;18226.98633
1191600;17526.58203;16246.04297;15727.82031;18564.64258
1195200;18848.82031;18331.63672;16890.98047;17977.34961
1198800;16341.2207;16860.4668;14987.96094;17068.71875
1202400;17065.92188;15376.24512;16036.94043;17818.5332
1206000;15830.42871;17676.47852;17508.89648;16646.22461
1209600;12099.08008;15695.71289;16172.41406;15967.70605
1213200;12385.64355;14854.34473;17774.48633;17540.23828
1216800;15850.4707;15178.91406;17871.57227;18269.85938
1220400;10988.08496;13891.99023;14082.90234;13507.82617
1224000;11621.94238;10644.7666;12678.74902;11744.83008
1227600;9565.013672;14350.26855;12625.19434;9431.985352
1231200;13585.96875;11337.62109;14455.93066;14490.19336
1234800;14885.18457;14723.40918;15830.73535;15443.18945
1238400;16260.51465;15058.46875;15533.69043;16025.45313
1242000;16133.6543;15318.0332;15658.64941;15101.24316
1245600;21209.0332;17120.08789;18418.0957;20366.66602
1249200;18164.23828;20211.93945;19798.61328;20273.26758
1252800;19437.40234;20073.12695;19080.57617;20248.17578
1256400;15940.69824;18601.54688;17722.3125;19488.53125
1260000;18719.5957;19022.79883;18404.11328;19450.35352
1263600;18742.33789;18075.05469;14736.02637;18282.54492
1267200;16008.04004;17792.3125;14819.04297;18187.29688
1270800;13588.60449;14896.08594;12312.37988;15380.44434
1274400;15034.6416;13987.21484;13052.01172;16248.91113
1278000;15475.94336;14429.74805;10234.08203;16915.38867
1281600;16710.90625;17209.47461;14078.23145;17333.75
1285200;13897.46387;15505.37305;11016.22461;15442.18359
1288800;15808.42383;14263.33984;12394.19434;16530.76563
1292400;13092.375;14513.30566;13914.25586;14903.65137
1296000;12542.28223;12799.91992;12430.46387;14733.60449
1299600;14281.93457;15314.89258;13987.07617;15968.13672
1303200;15758.59375;14778.18164;16399.2168;17213.09766
1306800;11664.51074;12764.88086;12185.31738;12813.57031
1310400;10011.35254;9597.767578;11500.88965;10865.34277
1314000;9233.769531;12575.57422;11710.39355;8945.722656
1317600;12627.36816;13273.12988;14222.04395;13563.14746
1321200;14008.16309;14120.92285;15525.12695;14598.38574
1324800;16077.66016;14433.11621;15176.73242;15571.42773
1328400;15727.44434;14588.85645;15491.80566;14820.78906
1332000;21426.26758;17283.50781;18577.96875;20318.41406
1335600;20376.39258;20833.63867;19626.8457;22327.85938
1339200;20760.20898;20761.71875;19508.75781;20005.0625
1342800;16616.25586;19626.37305;19533.80469;18147.59766
1346400;19403.16211;19943.15625;19361.4707;19598.64648
1350000;19218.01367;18332.88086;18253.28711;18573.27148
1353600;17756.11133;18430.04297;16560.34766;19333.32227
1357200;14131.46387;15541.39453;13263.13184;15787.05762
1360800;13952.35742;14518.3418;11248.8877;14613.06152
1364400;12797.45801;13439.94629;11100.66504;14751.46289
1368000;13684.31543;15522.01465;12603.07813;16768.82813
1371600;14439.10352;15236.22559;12959.33301;14802.99902
1375200;16929.5293;14757.85156;16954.125;17949.71484
1378800;14945.89258;16645.17969;16822.62305;16925.94531
1382400;14373.06934;14579.36816;16732.80859;16630.23438
1386000;15298.30664;16700.90234;17598.04102;17997.38867
1389600;17742.52344;16830.03711;19646.91016;17982.85352
1393200;13051.59668;13135.52637;14252.05078;15149.1377
1396800;12020.37402;10041.80566;12943.80957;12963.92578
1400400;10259.7168;15045.44336;13107.50293;10314.70898
1404000;14750.41309;15004.13672;15774.03711;15404.97266
1407600;15884.55859;16090.14844;17222.87109;16547.55664
1411200;17604.4375;16075.98242;16729.18164;17221.92188
1414800;17660.63477;16737.05273;17041.65234;16393.58594
1418400;23078.63672;18814.82227;20528.30664;21834.30859
1422000;20342.85156;21586.48242;21005.43359;22085.10547
1425600;20701.89648;20818.32031;20389.23828;21693.40234
1429200;18899.27539;20127.70508;20791.66406;20712.16992
1432800;19698.44922;20463.52344;20653.43945;20566.73633
1436400;20004.42383;18802.43359;17105.57422;19239.78516
1440000;16920.18359;17744.79492;16336.34863;18592.00391
1443600;13822.30078;14678.86914;13079.07031;14800.39355
1447200;12465.37598;14000.95703;11857.27246;14371.77832
1450800;11555.64453;12679.54492;9843.411133;14002.36914
1454400;13625.21094;14930.2002;12671.30176;15119.67871
1458000;13236.86523;14608.73145;13409.66406;13886.12793
1461600;15798.00977;13426.68359;13340.57324;15087.1543
1465200;13847.31348;15806.6416;12210.98047;12851.84961
1468800;12060.95703;13880.98047;12590.09961;14130.08496
1472400;13481.79785;13488.16992;14650.66895;16479.15039
1476000;14825.84668;13371.46289;12716.77344;16100.99805
1479600;10699.04199;9952.980469;11086.11816;11348.00879
1483200;8133.730957;7255.762207;9334.539063;8688.401367
1486800;7725.887695;11068.20898;9404.055664;7558.101563
1490400;10306.98828;10905.12305;11723.21191;11430.46973
1494000;11528.375;10281.88086;12701.86816;12004.55273
1497600;13181.12793;10406.34961;12391.54102;12753.4873
1501200;12145.8877;11717.79102;12151.83984;11099.40137
1504800;17658.32227;13091.63574;15314.33105;16179.92578
1508400;16681.84375;15757.86621;15486.43262;18135.7793
1512000;16143.76172;15929.4209;14395.40332;16774.62695
1515600;11718.16699;14958.98438;14575.2041;14715.24414
1519200;14569.01465;15708.09277;14862.75;16137.05371
1522800;14843.17188;14662.17285;11194.36719;15051.76758
1526400;14505.64453;15540.92676;12985.54492;16426.61328
1530000;13450.71387;14322.57422;11458.78027;14507.30566
1533600;13999.27441;15613.33594;12011.03516;14198.10938
1537200;12004.24121;15036.04199;10595.19629;15907.14648
1540800;14308.16406;17257.8125;15077.33496;16948.27344
1544400;13975.76758;16254.06641;15100.16699;15410.03516
1548000;15924.7627;15614.58105;15627.88184;16183.05566
1551600;12611.20801;16518.09961;15197.7207;13920.2207
1555200;13560.79102;14939.875;12833.12109;14606.62598
1558800;14272.93848;16191.75586;15604.78223;15983.42773
1562400;16474.49414;16544.72266;17919.49219;16720.10156
1566000;11539.16113;13830.1123;13096.41699;13131.1084
1569600;9994.548828;10074.7168;12277.88477;11268.56152
1573200;8982.911133;13701.28125;12282.70801;9058.425781
1576800;13529.74902;13736.81348;14864.52734;13858.23145
1580400;14667.80273;14494.61523;16149;15188.92871
1584000;15996.62207;14834.65918;15908.81836;15928.8916
1587600;14947.4502;15244.76758;15684.10742;15029.90723
1591200;21826.08984;17499.41016;18333.43555;20897.06055
1594800;18893.30859;21128.01563;19930.42383;21037.60156
1598400;20169.51172;19958.40039;19596.7793;20855.78906
1602000;18623.7168;18958.47461;19525.375;20542.3457
1605600;19396.42188;18393.09375;18480.92383;19588.72461
1609200;17135.42773;16463.07227;15584.68555;18176.94141
1612800;16583.77734;17254.28125;15275.04785;17088.27734
1616400;10003.63672;13548.88867;11434.33301;12832.86035
1620000;9462.667969;13051.23145;10458.68652;10667.73438
1623600;9696.670898;12649.19629;10262.88379;11883.88379
1627200;12853.06348;14667.21484;13300.48926;13730.8623
1630800;12748.98535;14210.48633;12893.04199;14086.68555
1634400;14777.17773;13909.93359;14222.25098;15126.98926
1638000;11477.58008;13772.02441;13093.50684;13163.00684
1641600;12431.53613;11755.89844;9367.84668;13773.29297
1645200;13235.36133;14451.38086;12903.28125;15397.33105
1648800;14390.91016;13400.80176;14771.14063;15160.90527
1652400;10532.86035;11689.08008;9623.59375;10848.4082
1656000;7575.842285;7432.723633;8924.262695;8348.618164
1659600;7239.63916;11037.28711;9417.125;7094.55127
