#1;0;0;0;0;0;0;0;0
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;;;;;
#;6WE_26;6WE_14;6WE_32;6WE_8;6WE_9;6WE_16;6WE_20;6WE_18
double default(8761,9);;;;;;;;
799200;1183.259766;1392.648804;1309.903442;13608.62402;13859.78516;2419.603027;2589.479248;2173.728027
802800;2486.847656;2122.998779;3402.100586;14874.25488;14411.78223;2321.354004;2627.998291;2887.325439
806400;3296.435547;1974.021851;1968.175659;15826.66992;14584.79297;2933.248291;2788.153564;3117.653564
810000;2311.219971;1928.013916;2204.196777;15113.83691;14510.40527;2247.55835;2716.687988;3777.12915
813600;7209.410156;6831.89502;5507.693848;20671.04297;22629.03906;4751.984863;4523.648438;5553.78125
817200;6491.632813;4465.550293;5342.584473;20663.1582;19214.39063;4058.242432;1180.30957;5621.599121
820800;4419.678223;6292.522461;4710.639648;19163.00391;21173.14063;6880.952148;2070.395996;3662.63916
824400;3777.009277;3017.344482;4472.788574;18859.26758;18038.9043;4850.739746;2536.440674;2932.966553
828000;4541.777832;4777.983398;2953.260986;19709.37109;19542.28125;4109.123047;3023.729492;4144.507813
831600;2441.022949;1849.033813;1604.636719;16774.04883;16732.77539;2153.380127;2317.814697;2613.466797
835200;3172.834473;2855.726563;1603.948486;18303.36914;17872.19727;3224.806885;2329.035645;3409.062256
838800;1889.672241;1515.705322;682.6134033;14897.55664;15204.07324;1636.788208;1569.863159;1287.424927
842400;1187.309082;802.7355957;555.7510986;15841.8418;15249.45215;1259.567139;868.2522583;926.829895
846000;2974.596924;3599.140381;1153.9552;17951.0918;17860.70508;2055.612061;1345.258789;2376.685303
849600;3513.624512;5677.599121;3538.34082;18161.22852;19783.50781;3496.456299;2872.750732;2626.913574
853200;2479.081055;1926.959229;1846.69458;16717.18555;15711.68164;1596.578491;2083.678467;1917.381348
856800;4390.38916;2804.813232;3263.735596;18871.875;16286.33887;3099.111328;2132.542236;1323.067017
860400;1948.524414;1604.823853;2477.726074;15210.5127;13160.55273;1596.739014;1181.1604;760.2025146
864000;1787.674194;546.279541;1344.311768;15699.67773;10204.67676;633.5510254;1194.572876;388.7513123
867600;2567.056641;1891.732666;1974.87561;16764.32422;15858.87598;1232.982056;1971.335083;367.4057007
871200;2614.637695;2247.647705;2834.449707;17239.73828;16623.17188;1159.244751;1951.606567;2205.302979
874800;659.3470459;517.192688;749.4147949;12882.12012;8897.986328;1648.913452;1922.216064;1845.039551
878400;193.9974213;1442.361816;793.7113037;9952.804688;13303.09961;1174.922363;3648.994629;1000.308105
882000;706.5220947;997.4193115;1723.877197;5456.169434;10366.41504;2100.606689;3472.206055;1883.640259
