#1
#SLP with Hamburg TMY, scaled to 10 MWh yearly demand	
double default(8761,2)	
3380400	1260.77255
3384000	1292.69084
3387600	1393.76544
3391200	1659.75121
3394800	2388.55222
3398400	3069.47579
3402000	2856.68717
3405600	2713.05486
3409200	2596.02112
3412800	2473.66766
3416400	2383.2325
3420000	2330.03535
3423600	2324.71563
3427200	2372.59307
3430800	2436.42965
3434400	2558.78311
3438000	2665.17742
3441600	2691.77599
3445200	2686.45628
3448800	2580.06197
3452400	2287.47762
3456000	1643.79206
3459600	1308.64999
3463200	1255.01587
3466800	1293.212
3470400	1325.95155
3474000	1429.62677
3477600	1702.4563
3481200	2450.00923
3484800	3148.45285
3488400	2930.18922
3492000	2782.86127
3495600	2662.81627
3499200	2537.31469
3502800	2444.55264
3506400	2389.98674
3510000	2384.53014
3513600	2433.63946
3517200	2499.11855
3520800	2624.62014
3524400	2733.75195
3528000	2761.0349
3531600	2755.57831
3535200	2646.4465
3538800	2346.33401
3542400	1686.08653
3546000	1342.32132
3549600	1296.87211
3553200	1336.34213
3556800	1370.17358
3560400	1477.30649
3564000	1759.23521
3567600	2531.71991
3571200	3253.45743
3574800	3027.91446
3578400	2875.67295
3582000	2751.62431
3585600	2621.9371
3589200	2526.08133
3592800	2469.69559
3596400	2464.05702
3600000	2514.80419
3603600	2582.46708
3607200	2712.15429
3610800	2824.92578
3614400	2853.11865
3618000	2847.48008
3621600	2734.70859
3625200	2424.58699
3628800	1742.31949
3632400	1387.0893
3636000	1313.76238
3639600	1353.74646
3643200	1388.01852
3646800	1496.54671
3650400	1782.14723
3654000	2564.69265
3657600	3295.82998
3661200	3067.34956
3664800	2913.12528
3668400	2787.46106
3672000	2656.08482
3675600	2558.98064
3679200	2501.86054
3682800	2496.14853
3686400	2547.55662
3690000	2616.10075
3693600	2747.47698
3697200	2861.71719
3700800	2890.27724
3704400	2884.56523
3708000	2770.32503
3711600	2456.16446
3715200	1765.0112
3718800	1405.15455
3722400	1357.33052
3726000	1398.64058
3729600	1434.04921
3733200	1546.17651
3736800	1841.24836
3740400	2649.74524
3744000	3405.12918
3747600	3169.0717
3751200	3009.7329
3754800	2879.90129
3758400	2744.16823
3762000	2643.8438
3765600	2584.82943
